timestamp,energy_mwh,temp_c,cloud_cover,solar_radiation,wind_speed
2024-01-01 00:00:00,0.319,-2.66,0.338,0.0,3.32
2024-01-01 01:00:00,0.491,-2.26,0.41,0.0,3.89
2024-01-01 02:00:00,0.593,1.4,0.526,0.0,4.42
2024-01-01 03:00:00,0.048,-1.41,0.414,0.0,3.94
2024-01-01 04:00:00,0.0,1.97,0.564,0.0,2.96
2024-01-01 05:00:00,0.696,2.51,0.652,0.0,4.18
2024-01-01 06:00:00,0.0,2.11,0.419,0.0,3.65
2024-01-01 07:00:00,5.386,-0.19,0.223,0.121,2.29
2024-01-01 08:00:00,7.405,2.64,0.498,0.161,3.63
2024-01-01 09:00:00,9.372,2.28,0.706,0.158,3.12
2024-01-01 10:00:00,17.461,3.03,0.249,0.344,2.24
2024-01-01 11:00:00,14.632,1.62,0.438,0.305,3.61
2024-01-01 12:00:00,10.388,3.51,0.691,0.216,5.28
2024-01-01 13:00:00,17.182,3.3,0.335,0.344,3.93
2024-01-01 14:00:00,13.061,2.91,0.508,0.255,4.05
2024-01-01 15:00:00,13.64,0.32,0.32,0.269,3.02
2024-01-01 16:00:00,10.444,-1.27,0.225,0.22,2.61
2024-01-01 17:00:00,6.033,-0.35,0.26,0.117,1.62
2024-01-01 18:00:00,0.0,0.61,0.478,0.0,2.77
2024-01-01 19:00:00,0.628,-2.04,0.428,0.0,2.64
2024-01-01 20:00:00,0.034,-2.05,0.519,0.0,4.02
2024-01-01 21:00:00,0.0,-3.18,0.243,0.0,3.48
2024-01-01 22:00:00,0.413,-3.6,0.569,0.0,4.3
2024-01-01 23:00:00,0.23,-2.11,0.224,0.0,3.62
2024-01-02 00:00:00,0.0,-2.72,0.516,0.0,3.61
2024-01-02 01:00:00,0.438,-1.63,0.469,0.0,2.62
2024-01-02 02:00:00,0.377,-0.89,0.143,0.0,2.39
2024-01-02 03:00:00,0.721,-0.35,0.559,0.0,3.1
2024-01-02 04:00:00,0.426,0.68,0.365,0.0,3.62
2024-01-02 05:00:00,0.0,-0.24,0.781,0.0,4.06
2024-01-02 06:00:00,0.0,0.41,0.315,0.0,2.87
2024-01-02 07:00:00,3.324,2.08,0.713,0.064,4.69
2024-01-02 08:00:00,11.196,2.58,0.24,0.22,2.13
2024-01-02 09:00:00,16.771,2.28,0.11,0.335,3.1
2024-01-02 10:00:00,8.979,3.3,0.63,0.216,2.81
2024-01-02 11:00:00,22.509,3.99,0.089,0.442,2.51
2024-01-02 12:00:00,20.577,4.03,0.171,0.422,2.44
2024-01-02 13:00:00,11.661,3.82,0.659,0.225,4.64
2024-01-02 14:00:00,16.574,-0.07,0.356,0.311,1.97
2024-01-02 15:00:00,11.689,-0.61,0.444,0.237,2.11
2024-01-02 16:00:00,7.428,-0.34,0.591,0.143,4.37
2024-01-02 17:00:00,4.1,-0.67,0.568,0.082,3.39
2024-01-02 18:00:00,0.315,-1.78,0.324,0.0,2.9
2024-01-02 19:00:00,0.062,-2.78,0.075,0.0,1.7
2024-01-02 20:00:00,0.0,-2.96,0.219,0.0,3.39
2024-01-02 21:00:00,0.0,-2.31,0.258,0.0,3.01
2024-01-02 22:00:00,0.954,-4.59,0.657,0.0,4.16
2024-01-02 23:00:00,0.263,-0.08,0.707,0.0,3.18
2024-01-03 00:00:00,0.498,-2.56,0.136,0.0,2.81
2024-01-03 01:00:00,0.239,-0.85,0.338,0.0,2.22
2024-01-03 02:00:00,0.585,-2.18,0.773,0.0,3.79
2024-01-03 03:00:00,0.0,-0.07,0.351,0.0,1.96
2024-01-03 04:00:00,0.05,0.13,0.537,0.0,3.49
2024-01-03 05:00:00,0.303,1.82,0.523,0.0,4.42
2024-01-03 06:00:00,0.776,1.27,0.504,0.0,3.69
2024-01-03 07:00:00,7.245,4.0,0.32,0.113,2.61
2024-01-03 08:00:00,12.243,0.82,0.162,0.24,2.57
