CustomerID,Recency,Frequency,Monetary,Cluster_Final
12346.0,326,1,104.0,1
12347.0,2,182,4164.4,0
12348.0,75,27,1302.08,0
12349.0,19,72,1434.23,0
12350.0,310,16,294.4,1
12352.0,36,77,1385.74,0
12353.0,204,4,89.0,1
12354.0,232,58,1078.44,1
12355.0,214,13,459.4,1
12356.0,23,58,2470.63,0
12357.0,33,131,6199.3,0
12358.0,2,17,928.0600000000001,0
12359.0,58,245,5170.53,0
12360.0,52,126,2300.14,0
12361.0,287,9,174.9,1
12362.0,3,256,4707.71,0
12363.0,110,23,552.0,1
12364.0,8,81,1179.3,0
12365.0,291,21,320.69,1
12367.0,4,10,150.9,1
12370.0,51,165,3342.98,0
12371.0,60,62,1527.96,0
12372.0,72,49,1196.04,0
12373.0,311,13,324.6,1
12374.0,25,32,622.29,1
12375.0,11,15,377.5,1
12377.0,315,76,1548.12,1
12378.0,130,219,3968.82,0
12379.0,82,38,777.24,1
12380.0,22,100,2377.89,0
12381.0,5,82,1474.81,0
12383.0,185,94,1612.72,0
12384.0,29,25,425.27000000000004,1
12386.0,338,10,394.7,1
12388.0,16,100,2780.66,0
12390.0,80,31,504.2,1
12391.0,22,93,439.34000000000003,0
12393.0,72,64,1582.6000000000001,0
12394.0,64,25,805.92,1
12395.0,19,144,2634.11,0
12397.0,36,124,2212.66,0
12398.0,46,84,1435.66,0
12399.0,119,55,1028.45,1
12401.0,303,4,69.3,1
12402.0,323,10,195.6,1
12403.0,50,4,391.7,1
12405.0,149,53,1390.39,0
12406.0,22,105,3415.3,0
12407.0,50,72,1452.08,0
12408.0,33,101,2616.63,0
12409.0,79,109,10985.07,0
12410.0,309,25,533.33,1
12412.0,75,58,1142.88,1
12413.0,67,36,672.78,1
12414.0,217,15,442.41,1
12415.0,24,713,93190.17,2
12417.0,3,183,3207.54,0
12418.0,113,34,668.58,1
12420.0,64,29,599.75,1
12421.0,16,41,639.04,1
12422.0,96,38,683.5600000000001,1
12423.0,1,117,1633.67,0
12424.0,163,30,1714.3200000000002,0
12425.0,78,36,777.2,1
12426.0,195,29,510.41,1
12427.0,22,28,660.32,1
12428.0,26,287,6404.62,0
12429.0,9,94,3380.0,0
12430.0,43,10,216.4,1
12431.0,36,232,5555.79,0
12432.0,43,107,4189.3,0
12433.0,1,420,13088.51,0
12434.0,85,50,806.14,1
12435.0,80,36,7542.450000000001,0
12436.0,100,15,429.01000000000005,1
12437.0,2,184,4434.41,0
12438.0,14,96,2466.85,0
12441.0,367,10,155.55,1
12442.0,3,11,144.06,1
12444.0,21,172,4030.1,0
12445.0,22,3,77.4,1
12446.0,58,57,1002.3100000000001,1
12447.0,243,25,431.49,1
12448.0,44,21,317.08,1
12449.0,22,187,3596.29,0
12450.0,156,8,197.88,1
12451.0,11,353,8974.36,0
12452.0,17,20,348.57,1
12453.0,134,43,707.09,1
12454.0,56,15,2917.14,0
12455.0,73,85,2236.46,0
