CustomerID,Recency,Frequency,Monetary,Cluster
12346.0,326,1,104.0,1
12347.0,2,7,4127.05,2
12348.0,75,4,1302.08,2
12349.0,19,1,1434.23,2
12350.0,310,1,294.4,1
12352.0,36,7,1385.74,2
12353.0,204,1,89.0,1
12354.0,232,1,1061.84,1
12355.0,214,1,459.4,1
12356.0,23,3,2440.63,2
12357.0,33,1,6136.900000000001,2
12358.0,2,2,928.0600000000001,2
12359.0,58,4,5162.13,2
12360.0,52,3,2217.14,2
12361.0,287,1,174.9,1
12362.0,3,10,4675.51,0
12363.0,110,2,552.0,2
12364.0,8,4,1168.8,2
12365.0,291,1,320.69,1
12367.0,4,1,150.9,2
12370.0,51,4,3325.28,2
12371.0,60,1,1507.56,2
12372.0,72,3,1196.04,2
12373.0,311,1,324.6,1
12374.0,25,1,589.03,2
12375.0,11,2,344.3,2
12377.0,315,2,1525.62,1
12378.0,130,1,3921.02,2
12379.0,82,2,777.24,2
12380.0,22,4,2344.69,2
12381.0,5,3,1465.45,2
12383.0,185,5,1579.52,1
12384.0,29,2,425.27000000000004,2
12386.0,338,2,394.7,1
12388.0,16,6,2780.66,2
12390.0,80,1,504.2,2
12391.0,22,1,439.34000000000003,2
12393.0,72,4,1582.6000000000001,2
12394.0,64,2,805.92,2
12395.0,19,12,2634.11,0
12397.0,36,2,2212.66,2
12398.0,46,1,1419.06,2
12399.0,119,4,1028.45,2
12401.0,303,1,69.3,1
12402.0,323,1,195.6,1
12403.0,50,1,225.70000000000002,2
12405.0,149,1,1374.79,1
12406.0,22,2,3365.5,2
12407.0,50,5,1436.48,2
12408.0,33,5,2616.63,2
12409.0,79,3,10985.07,2
12410.0,309,2,533.33,1
12412.0,75,3,1142.88,2
12413.0,67,3,672.78,2
12414.0,217,3,442.41,1
12417.0,3,9,3172.94,2
12418.0,113,1,668.58,2
12420.0,64,1,584.9,2
12421.0,16,4,639.04,2
12422.0,96,3,683.5600000000001,2
12423.0,1,8,1613.39,2
12424.0,163,2,1714.3200000000002,1
12425.0,78,1,777.2,2
12426.0,195,1,510.41,1
12427.0,22,3,660.32,2
12428.0,26,8,6242.02,2
12429.0,9,4,3370.64,2
12430.0,43,1,216.4,2
12431.0,36,15,5540.9400000000005,0
12432.0,43,4,4189.3,2
12433.0,1,7,12986.51,2
12434.0,85,2,806.14,2
12435.0,80,2,7542.450000000001,2
12436.0,100,1,429.01000000000005,2
12437.0,2,18,4434.41,0
12438.0,14,2,2451.25,2
12441.0,367,1,155.55,1
12442.0,3,1,144.06,2
12444.0,21,5,3981.8,2
12445.0,22,1,77.4,2
12446.0,58,1,986.71,2
12447.0,243,1,431.49,1
12448.0,44,1,309.33,2
12449.0,22,4,3596.29,2
12450.0,156,2,197.88,1
12451.0,11,5,8857.76,2
12452.0,17,1,348.57,2
12453.0,134,1,707.09,1
12454.0,56,1,2917.14,2
12455.0,73,5,2219.86,2
12456.0,44,3,2556.14,2
12457.0,66,6,2040.67,2
12458.0,71,2,771.8,2
12461.0,155,1,626.88,1
12462.0,19,2,937.59,2
12463.0,53,4,1185.93,2
12464.0,10,8,955.13,2
12465.0,17,2,682.1899999999999,2
12468.0,188,2,657.54,1
12471.0,2,27,17388.329999999998,0
12472.0,32,7,6036.83,2
12473.0,54,3,2577.81,2
12474.0,17,18,6656.89,0
12475.0,54,1,669.38,2
12476.0,16,11,5874.82,0
12477.0,23,6,13010.68,2
12478.0,4,1,545.99,2
12479.0,11,1,473.2,2
12480.0,28,4,2694.73,2
12481.0,23,10,5002.54,0
12483.0,17,8,1861.18,2
12484.0,35,4,3913.52,2
12488.0,10,3,1225.8600000000001,2
12489.0,336,1,298.93,1
12490.0,5,10,4810.13,0
12491.0,39,1,424.40000000000003,2
12492.0,63,2,227.21,2
12493.0,166,2,379.42,1
12494.0,16,7,1039.9,2
12497.0,82,1,900.6,2
12498.0,21,3,349.70000000000005,2
12500.0,23,11,3349.22,2
12501.0,337,1,2002.57,1
12502.0,96,5,2991.63,2
12504.0,18,2,428.04999999999995,2
12506.0,233,1,73.5,1
12507.0,134,3,899.4100000000001,1
12508.0,26,2,397.88,2
12509.0,284,1,158.5,1
12510.0,143,2,796.87,1
12512.0,66,2,132.18,2
12513.0,113,1,558.29,2
12514.0,267,1,1017.68,1
12515.0,353,1,278.7,1
12516.0,78,2,1146.58,2
12517.0,28,4,2289.84,2
12518.0,1,5,1824.29,2
12519.0,64,1,276.84,2
12520.0,79,5,2318.88,2
12521.0,143,1,545.68,1
12522.0,39,2,156.72,2
12523.0,19,11,1691.08,2
12524.0,9,8,3775.14,2
12526.0,1,3,1172.66,2
12527.0,82,3,320.63,2
12528.0,9,6,1613.96,2
12530.0,60,4,1393.8,2
12531.0,15,1,111.9,2
12532.0,30,1,313.83000000000004,2
12534.0,131,1,978.86,1
12535.0,92,2,716.35,2
12536.0,59,1,4264.23,2
12538.0,29,1,363.95,2
12539.0,22,4,5506.71,2
12540.0,20,17,11549.36,0
12541.0,30,3,841.18,2
12544.0,36,1,316.7,2
12545.0,75,2,817.39,2
12546.0,47,2,1021.5,2
12547.0,198,2,151.79999999999998,1
12548.0,166,1,67.19999999999999,1
12550.0,79,1,809.83,2
12551.0,358,1,168.0,1
12552.0,40,1,305.07,2
12553.0,8,10,3222.58,2
12556.0,50,2,599.56,2
12557.0,16,5,4848.34,2
12558.0,8,1,269.96,2
12559.0,311,2,525.71,1
12560.0,5,2,1917.69,2
12561.0,303,1,238.85,1
12562.0,8,7,3383.18,2
12564.0,261,1,401.94,1
12565.0,289,1,145.92,1
12566.0,86,1,297.65,2
12567.0,23,10,8468.24,2
12571.0,40,2,519.61,2
12572.0,9,2,911.78,2
12573.0,227,1,160.54000000000002,1
12574.0,316,1,182.45000000000002,1
12576.0,36,5,1302.19,2
12577.0,35,3,622.65,2
12578.0,21,2,2370.31,2
12579.0,78,1,386.42,2
12580.0,247,1,379.7,1
12581.0,40,1,179.71,2
12582.0,239,2,351.36,1
12583.0,3,15,6605.82,0
12584.0,4,9,2249.9900000000002,2
12585.0,234,2,1757.86,1
12586.0,17,1,196.94000000000003,2
12587.0,8,1,104.0,2
12588.0,39,1,174.89999999999998,2
12589.0,29,2,559.08,2
12590.0,211,1,9016.26,1
12591.0,317,1,368.85,1
12592.0,92,2,401.6,2
12593.0,109,3,382.09999999999997,2
12594.0,38,9,3208.2200000000003,2
12596.0,51,2,450.27,2
12597.0,19,4,3179.39,2
12598.0,10,7,2773.88,2
12599.0,29,7,888.58,2
12600.0,29,10,2299.34,2
12601.0,190,5,463.74,1
12602.0,59,1,153.12,2
12603.0,22,1,613.1999999999999,2
12604.0,79,2,204.98000000000002,2
12607.0,60,1,1579.19,2
12609.0,78,3,964.85,2
12610.0,23,4,1746.26,2
12611.0,52,1,1121.32,2
12612.0,74,1,522.69,2
12613.0,57,4,3092.38,2
12614.0,278,1,315.6,1
12615.0,2,4,2093.19,2
12616.0,95,2,641.3,2
12617.0,29,1,352.98,2
12618.0,22,1,137.31,2
12619.0,16,8,2687.48,2
12620.0,15,3,1303.41,2
12621.0,2,20,11964.23,0
12622.0,232,1,162.1,1
12623.0,276,1,269.1,1
12624.0,106,2,569.13,2
12625.0,212,2,2413.82,1
12626.0,23,9,5954.48,2
12627.0,11,6,4013.41,2
12628.0,4,3,732.46,2
12630.0,10,2,1030.56,2
12631.0,57,1,463.9,2
12633.0,59,4,1823.98,2
12635.0,90,2,1509.18,2
12637.0,67,8,5752.34,2
12638.0,33,1,502.33,2
12639.0,239,1,349.5,1
12640.0,24,3,993.94,2
12641.0,115,1,145.9,2
12642.0,25,3,904.9399999999999,2
12643.0,128,6,2114.6,1
12644.0,130,1,477.91,1
12645.0,34,4,1631.18,2
12646.0,5,2,1313.77,2
12647.0,22,12,3044.64,0
12648.0,155,1,283.45,1
12649.0,107,3,568.87,2
12650.0,3,1,242.44000000000003,2
12651.0,335,1,114.0,1
12652.0,331,1,793.98,1
12653.0,149,2,2209.85,1
12654.0,11,5,529.98,2
12656.0,17,5,3617.57,2
12657.0,11,4,1301.18,2
12658.0,19,1,632.05,2
12659.0,30,1,73.68,2
12660.0,11,1,227.1,2
12662.0,1,11,3498.86,0
12664.0,8,7,2378.4,2
12665.0,325,1,45.0,1
12667.0,58,1,460.13,2
12668.0,12,4,3168.75,2
12669.0,151,2,1427.4099999999999,1
12670.0,10,5,2744.05,2
12672.0,330,1,225.89999999999998,1
12673.0,5,2,574.52,2
12674.0,39,4,1778.2,2
12676.0,25,6,1091.39,2
12678.0,42,9,12880.46,2
12679.0,59,4,930.27,2
12680.0,1,4,790.81,2
12681.0,15,22,12261.79,0
12683.0,4,14,7548.57,0
12684.0,8,6,2052.59,2
12685.0,28,6,2575.08,2
12686.0,372,1,71.14,1
12688.0,114,1,4639.0599999999995,2
12689.0,26,2,1139.61,2
12690.0,206,1,335.01,1
12691.0,28,5,927.8,2
12693.0,127,4,711.91,2
12694.0,70,2,761.67,2
12695.0,7,4,582.1,2
12697.0,29,3,757.59,2
12700.0,8,4,4462.19,2
12701.0,80,2,725.07,2
12702.0,20,1,201.0,2
12703.0,71,1,265.55,2
12704.0,7,8,1723.1599999999999,2
12705.0,15,8,6372.21,2
12707.0,292,1,603.42,1
12708.0,30,10,2417.41,2
12709.0,15,15,9400.52,0
12710.0,97,3,1006.42,2
12712.0,29,13,3899.48,0
12713.0,1,1,761.35,2
12714.0,9,5,4261.66,2
12715.0,106,1,263.36,2
12716.0,4,2,963.49,2
12717.0,151,2,792.0600000000001,1
12718.0,71,1,187.25,2
12719.0,5,2,572.95,2
12720.0,3,25,5082.97,0
12721.0,32,6,2385.17,2
12722.0,85,4,978.35,2
12723.0,4,5,705.47,2
12724.0,5,4,906.8100000000001,2
12725.0,371,1,371.8,1
12726.0,28,7,2393.62,2
12727.0,11,7,3440.7,2
12728.0,71,4,728.33,2
12729.0,114,1,417.01,2
12731.0,24,12,18039.85,0
12732.0,180,1,218.26000000000002,1
12733.0,234,1,383.95,1
12734.0,353,1,102.0,1
12735.0,315,2,689.5699999999999,1
12736.0,333,1,135.6,1
12738.0,372,1,137.35,1
12739.0,99,1,975.54,2
12740.0,64,1,427.6,2
12743.0,134,2,536.86,1
12744.0,56,4,8735.28,2
12747.0,2,11,4196.01,0
12749.0,4,5,4040.88,2
12750.0,129,1,275.88,1
12752.0,81,1,4096.78,2
12754.0,236,3,972.38,1
12755.0,281,2,272.54999999999995,1
12756.0,87,1,112.07999999999998,2
12757.0,16,9,4096.83,2
12758.0,117,2,2791.59,1
12759.0,52,3,1376.96,2
12762.0,8,2,1659.32,2
12763.0,138,2,494.08,1
12764.0,317,1,1693.88,1
12766.0,4,7,6457.63,2
12769.0,239,1,1143.6,1
12770.0,211,1,1268.95,1
12772.0,60,1,735.87,2
12775.0,17,5,1280.72,2
12778.0,20,6,663.2,2
12779.0,38,8,3957.36,2
12781.0,64,2,786.74,2
12782.0,5,5,1892.1200000000001,2
12783.0,2,4,1295.87,2
12784.0,15,1,476.82,2
12785.0,364,1,255.63,1
12787.0,10,3,418.66,2
12789.0,65,1,33.26,2
12790.0,192,1,294.92,1
12791.0,374,1,177.60000000000002,1
12792.0,257,1,344.53999999999996,1
12793.0,335,2,461.48,1
12794.0,53,2,844.8100000000001,2
