precision,recall,f1_score,overlap_count,nltk_only_count,spacy_only_count,paper_id
0.875,0.2333,0.3684,7,1,23,d1aafb70c066a2068b02786f8929fd9c900897fb
0.75,0.2857,0.4138,6,2,15,PMC35282
0.25,0.125,0.1667,1,3,7,6b0567729c2143a66d737eb0a2f63f2dce2e5a7d
0.3333,0.1,0.1538,1,2,9,PMC59543
0.3333,0.1,0.1538,1,2,9,06ced00a5fc04215949aa72528f2eeaae1d58927
0.25,0.125,0.1667,1,3,7,PMC59549
0.6,0.6,0.6,3,2,2,348055649b6b8cf2b9a376498df9bf41f7123605
1.0,0.1875,0.3158,3,0,13,PMC59574
0.5,0.5,0.5,3,3,3,5f48792a5fa08bed9f56016f4981ae2ca6031b32
0.5,0.5,0.5,3,3,3,PMC59580
