Iter 10/5000 | Loss: 452.146 | Return: -27.358 | Entropy: 7.823
Iter 20/5000 | Loss: 444.646 | Return: -27.151 | Entropy: 7.823
Iter 30/5000 | Loss: 534.215 | Return: -30.421 | Entropy: 7.823
Iter 40/5000 | Loss: 459.636 | Return: -28.391 | Entropy: 7.823
Iter 50/5000 | Loss: 422.996 | Return: -27.168 | Entropy: 7.822
Iter 60/5000 | Loss: 436.339 | Return: -27.131 | Entropy: 7.822
Iter 70/5000 | Loss: 507.695 | Return: -30.887 | Entropy: 7.822
Iter 80/5000 | Loss: 418.497 | Return: -28.183 | Entropy: 7.822
Iter 90/5000 | Loss: 484.733 | Return: -29.893 | Entropy: 7.822
Iter 100/5000 | Loss: 417.525 | Return: -28.505 | Entropy: 7.822
Iter 110/5000 | Loss: 410.104 | Return: -27.719 | Entropy: 7.822
Iter 120/5000 | Loss: 589.894 | Return: -34.145 | Entropy: 7.823
Iter 130/5000 | Loss: 398.725 | Return: -28.605 | Entropy: 7.823
Iter 140/5000 | Loss: 424.285 | Return: -29.750 | Entropy: 7.823
Iter 150/5000 | Loss: 463.214 | Return: -31.739 | Entropy: 7.823
Iter 160/5000 | Loss: 519.143 | Return: -33.453 | Entropy: 7.822
Iter 170/5000 | Loss: 505.250 | Return: -33.126 | Entropy: 7.822
Iter 180/5000 | Loss: 497.976 | Return: -33.125 | Entropy: 7.822
Iter 190/5000 | Loss: 384.636 | Return: -30.189 | Entropy: 7.822
Iter 200/5000 | Loss: 392.897 | Return: -30.759 | Entropy: 7.822
Iter 210/5000 | Loss: 573.260 | Return: -36.346 | Entropy: 7.822
Iter 220/5000 | Loss: 336.492 | Return: -28.727 | Entropy: 7.822
Iter 230/5000 | Loss: 369.823 | Return: -30.188 | Entropy: 7.822
Iter 240/5000 | Loss: 490.928 | Return: -34.956 | Entropy: 7.822
Iter 250/5000 | Loss: 429.347 | Return: -33.174 | Entropy: 7.823
Iter 260/5000 | Loss: 413.615 | Return: -32.329 | Entropy: 7.823
Iter 270/5000 | Loss: 397.750 | Return: -32.299 | Entropy: 7.823
Iter 280/5000 | Loss: 438.783 | Return: -34.551 | Entropy: 7.822
Iter 290/5000 | Loss: 401.966 | Return: -34.185 | Entropy: 7.822
Iter 300/5000 | Loss: 320.772 | Return: -31.122 | Entropy: 7.822
Iter 310/5000 | Loss: 423.535 | Return: -34.769 | Entropy: 7.822
Iter 320/5000 | Loss: 428.068 | Return: -35.354 | Entropy: 7.822
Iter 330/5000 | Loss: 431.391 | Return: -35.542 | Entropy: 7.822
Iter 340/5000 | Loss: 409.791 | Return: -35.741 | Entropy: 7.822
Iter 350/5000 | Loss: 396.187 | Return: -35.016 | Entropy: 7.822
Iter 360/5000 | Loss: 498.237 | Return: -38.266 | Entropy: 7.822
Iter 370/5000 | Loss: 493.084 | Return: -39.056 | Entropy: 7.822
Iter 380/5000 | Loss: 415.999 | Return: -37.340 | Entropy: 7.822
Iter 390/5000 | Loss: 505.859 | Return: -39.391 | Entropy: 7.822
Iter 400/5000 | Loss: 456.897 | Return: -38.534 | Entropy: 7.822
Iter 410/5000 | Loss: 435.183 | Return: -37.628 | Entropy: 7.822
Iter 420/5000 | Loss: 359.577 | Return: -36.685 | Entropy: 7.822
Iter 430/5000 | Loss: 371.678 | Return: -36.778 | Entropy: 7.823
Iter 440/5000 | Loss: 444.189 | Return: -39.677 | Entropy: 7.823
Iter 450/5000 | Loss: 298.784 | Return: -34.793 | Entropy: 7.823
Iter 460/5000 | Loss: 401.658 | Return: -38.024 | Entropy: 7.822
Iter 470/5000 | Loss: 451.923 | Return: -40.770 | Entropy: 7.822
Iter 480/5000 | Loss: 411.727 | Return: -40.062 | Entropy: 7.822
Iter 490/5000 | Loss: 349.520 | Return: -37.012 | Entropy: 7.823
Iter 500/5000 | Loss: 385.460 | Return: -40.624 | Entropy: 7.823
Iter 510/5000 | Loss: 463.885 | Return: -42.649 | Entropy: 7.822
Iter 520/5000 | Loss: 423.028 | Return: -41.368 | Entropy: 7.822
Iter 530/5000 | Loss: 446.480 | Return: -42.790 | Entropy: 7.823
Iter 540/5000 | Loss: 559.192 | Return: -45.796 | Entropy: 7.823
Iter 550/5000 | Loss: 467.811 | Return: -44.100 | Entropy: 7.822
Iter 560/5000 | Loss: 358.330 | Return: -40.758 | Entropy: 7.822
Iter 570/5000 | Loss: 354.987 | Return: -41.163 | Entropy: 7.822
Iter 580/5000 | Loss: 365.145 | Return: -41.639 | Entropy: 7.822
Iter 590/5000 | Loss: 424.565 | Return: -44.636 | Entropy: 7.822
Iter 600/5000 | Loss: 464.625 | Return: -45.759 | Entropy: 7.822
Iter 610/5000 | Loss: 359.987 | Return: -42.793 | Entropy: 7.822
Iter 620/5000 | Loss: 411.775 | Return: -45.097 | Entropy: 7.822
Iter 630/5000 | Loss: 329.471 | Return: -42.477 | Entropy: 7.822
Iter 640/5000 | Loss: 421.318 | Return: -45.475 | Entropy: 7.822
Iter 650/5000 | Loss: 373.098 | Return: -44.062 | Entropy: 7.822
